openBAC,openMA,openAAPL,openPFE,openBYND,timestamp
29.35,269.53,203.65,37.94,177.4909,2019-08-02 16:00
29.375,269.64,203.65,37.96,177.4,2019-08-02 15:59
29.39,269.88,203.78,37.99,177.525,2019-08-02 15:58
29.35,269.8,203.77,37.99,177.51,2019-08-02 15:57
29.285,269.33,203.29,37.94,177.71,2019-08-02 15:56
29.32,269.25,203.35,37.935,177.65,2019-08-02 15:55
29.355,269.4914,203.35,37.98,177.5,2019-08-02 15:54
29.365,269.53,203.5338,37.995,177.83,2019-08-02 15:53
29.38,269.54,203.44,38,178.1548,2019-08-02 15:52
29.41,269.68,203.5611,38.025,177.95,2019-08-02 15:51
29.41,269.75,203.69,38.07,177.7,2019-08-02 15:50
29.436,269.79,203.65,38.095,177.465,2019-08-02 15:49
29.425,269.97,203.9,38.12,177.66,2019-08-02 15:48
29.415,269.84,203.67,38.135,177.6301,2019-08-02 15:47
29.42,270.13,204.04,38.1534,177.65,2019-08-02 15:46
29.43,270.34,204.1,38.1463,177.7883,2019-08-02 15:45
29.405,270.34,204.02,38.145,178.215,2019-08-02 15:44
29.4,270.57,204.34,38.17,178.275,2019-08-02 15:43
29.425,270.6,204.47,38.165,178.1499,2019-08-02 15:42
29.41,270.64,204.42,38.17,178.28,2019-08-02 15:41
29.38,270.585,204.27,38.14,178.41,2019-08-02 15:40
29.42,270.41,204.4,38.12,178.4282,2019-08-02 15:39
29.425,270.44,204.29,38.12,178.6,2019-08-02 15:38
29.365,269.85,203.73,38.04,178.25,2019-08-02 15:37
29.32,269.73,203.7839,38.03,178.1328,2019-08-02 15:36
29.32,269.81,203.85,38.01,178.22,2019-08-02 15:35
29.32,269.875,204.01,38.01,178.2099,2019-08-02 15:34
29.3538,269.87,204.035,38.0049,177.9948,2019-08-02 15:33
29.36,269.95,204.18,38.015,177.8108,2019-08-02 15:32
29.36,269.91,204.13,38.02,178.25,2019-08-02 15:31
29.37,269.99,204.2364,38.02,178.3175,2019-08-02 15:30
29.35,269.93,204.18,38,178.3679,2019-08-02 15:29
29.36,270,204.24,38,178.32,2019-08-02 15:28
29.335,269.815,203.9642,37.96,177.7393,2019-08-02 15:27
29.33,269.62,203.94,37.9354,177.75,2019-08-02 15:26
29.33,269.48,203.91,37.94,177.43,2019-08-02 15:25
29.335,269.43,203.695,37.93,177.31,2019-08-02 15:24
29.31,269.11,203.5075,37.93,177.0187,2019-08-02 15:23
29.305,269.21,203.5682,37.93,176.98,2019-08-02 15:22
29.2799,268.77,203.26,37.905,176.3436,2019-08-02 15:21
29.26,268.7,203.03,37.9181,176.3251,2019-08-02 15:20
29.245,268.63,203.1729,37.9457,176.2335,2019-08-02 15:19
29.24,268.53,203.135,37.9165,176.33,2019-08-02 15:18
29.23,268.53,203.19,37.9,176.4561,2019-08-02 15:17
29.23,268.53,203.17,37.9,176.2275,2019-08-02 15:16
29.245,268.61,203.3341,37.895,175.88,2019-08-02 15:15
29.245,268.575,203.44,37.92,175.8571,2019-08-02 15:14
29.255,268.62,203.3582,37.9,175.61,2019-08-02 15:13
29.27,268.7553,203.43,37.93,175.7879,2019-08-02 15:12
29.28,268.83,203.66,37.94,175.965,2019-08-02 15:11
29.3,268.99,203.78,37.955,175.9152,2019-08-02 15:10
29.265,268.865,203.71,37.925,175.83,2019-08-02 15:09
29.29,268.89,203.71,37.93,175.795,2019-08-02 15:08
29.3,269.03,203.94,37.955,175.64,2019-08-02 15:07
29.285,268.92,203.9,37.9559,175.715,2019-08-02 15:06
29.305,268.95,204.0244,37.97,175.76,2019-08-02 15:05
29.3,268.93,204.02,37.98,175.86,2019-08-02 15:04
29.295,268.885,204,37.985,176.04,2019-08-02 15:03
29.2852,268.79,203.98,37.97,176.13,2019-08-02 15:02
29.3,268.74,203.97,37.97,176.075,2019-08-02 15:01
29.26,268.53,203.8,37.941,176.0943,2019-08-02 15:00
29.2553,268.45,203.79,37.945,176.123,2019-08-02 14:59
29.24,268.36,203.7027,37.935,176.23,2019-08-02 14:58
29.255,268.35,203.73,37.93,176.24,2019-08-02 14:57
29.2502,268.4,203.89,37.92,176.3464,2019-08-02 14:56
29.25,268.35,203.925,37.92,176.4422,2019-08-02 14:55
29.25,268.365,204.01,37.925,176.36,2019-08-02 14:54
29.25,268.33,203.87,37.925,176.105,2019-08-02 14:53
29.255,268.37,204.0497,37.93,176.15,2019-08-02 14:52
29.27,268.425,204.05,37.955,176.2225,2019-08-02 14:51
29.2501,268.31,203.95,37.96,175.62,2019-08-02 14:50
29.27,268.4,204.075,37.96,175.76,2019-08-02 14:49
29.3,268.65,204.28,37.94,176.08,2019-08-02 14:48
29.295,268.785,204.34,37.91,175.9467,2019-08-02 14:47
29.31,268.71,204.18,37.88,175.945,2019-08-02 14:46
29.31,268.77,204.186,37.895,175.73,2019-08-02 14:45
29.295,268.7745,204.03,37.851,175.93,2019-08-02 14:44
29.28,268.57,203.8905,37.8647,176.05,2019-08-02 14:43
29.3,268.77,203.97,37.855,176.17,2019-08-02 14:42
29.3199,268.865,204.08,37.87,175.8175,2019-08-02 14:41
29.2901,268.81,203.9135,37.855,175.54,2019-08-02 14:40
29.27,268.72,203.88,37.855,175.5,2019-08-02 14:39
29.27,268.85,203.9,37.88,175.79,2019-08-02 14:38
29.26,268.46,203.81,37.855,175.779,2019-08-02 14:37
