Screen Name,User Name,Tweet Created At,Tweet Text,Tweet Coordinates,Retweet Count,Phone Type,Favorite Count,Favorited,Type
CNBC,CNBC,2019-08-02 22:42,"Liz Dunn, founder and CEO of Pro4ma, joins @SquawkCNBC to discuss how retail might be affected by the latest develo… https://t.co/5fxhyIY87I",None,5,Twitter Media Studio,6,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 22:14,"The @SquawkCNBC crew discusses Comcast's latest announcement of a new theme park to come in Florida, as well as oth… https://t.co/S3rl0M9zxC",None,1,Twitter Media Studio,7,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 22:12,"This one phrase can help you win any argument, according to an ex-FBI negotiator. https://t.co/OKZO5vUaPC",None,4,SocialFlow,19,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 21:43,CNBC's @onlyyoontv reports on China's response to President Trump's new tariff threat. https://t.co/krm4bCo89m https://t.co/q2jEMMRBca,None,6,Twitter Media Studio,14,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 21:27,Johnson &amp; Johnson says jury ruled in its favor in lawsuit alleging baby powder caused mesothelioma https://t.co/vEqzkEgL2h,None,8,SocialFlow,6,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 21:12,"Kathryn Thompson, Thompson Research Group CEO, discusses the escalating trade war and its impact on American ports,… https://t.co/gRTdF1XfR7",None,3,Twitter Media Studio,11,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 20:36,Eli Lilly confirms probe by New York's Attorney General over insulin prices https://t.co/WqwLUabXmV,None,8,SocialFlow,17,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 20:22,Nobel Prize winning economist Robert Shiller says that human behavior makes it very difficult to make predictions a… https://t.co/8c1oMh5weS,None,27,Twitter Media Studio,51,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 20:09,Perfect storm building for stock correction as trade war simmers and market awaits more Fed action https://t.co/W7QQ47Ql2s,None,7,SocialFlow,15,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 20:03,All 3 major U.S. indices fell today after President Trump stoked trade fears with the announcement of more tariffs… https://t.co/HZpJJUlbgL,None,16,Wildmoka,22,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 20:02,Why are some people so much better at saving? They know some tricks you don't know #investinyou (In partnership wit… https://t.co/9zwEc3aGZ5,None,3,SocialFlow,11,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 19:44,"Robert Mueller's Russia probe cost nearly $32 million in total, Justice Department says https://t.co/kOE0hEZVQo",None,18,SocialFlow,36,FALSE,from:cnbc -filter:retweets
